수집시각,순위,제목,저자,출판사,링크,이미지URL,이전순위,순위변동
2026-05-26 13:00,1,소중한 보물들 (민들레 에디션),이해인,김영사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393803700,https://image.aladin.co.kr/product/39380/37/cover500/k202139878_1.jpg,1,-
2026-05-26 13:00,2,프로젝트 헤일메리,"앤디 위어, 강동혁",알에이치코리아(RHK),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454373,https://image.aladin.co.kr/product/27045/43/cover500/k692135851_3.jpg,3,↑1
2026-05-26 13:00,3,최소한의 세계사,,"저자 친필 메세지 인쇄본 + 세계지도 메모패드, 세계사 연표 카드",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392647802,https://image.aladin.co.kr/product/39264/78/cover500/k432138500_1.jpg,6,↑3
2026-05-26 13:00,4,싯다르타,"헤르만 헤세, 박병덕",민음사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329596,https://image.aladin.co.kr/product/32/95/cover500/s062934786_1.jpg,4,-
2026-05-26 13:00,5,수족관,유래혁,포스터샵,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330811810,https://image.aladin.co.kr/product/33081/18/cover500/k582937507_1.jpg,2,↓3
2026-05-26 13:00,6,안녕이라 그랬어,김애란,문학동네,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365665217,https://image.aladin.co.kr/product/36566/52/cover500/s632135953_1.jpg,14,↑8
2026-05-26 13:00,7,불안한 날에 니체를 읽는다,"프리드리히 니체, 김상현",필름(Feelm),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393699252,https://image.aladin.co.kr/product/39369/92/cover500/k372139668_1.jpg,5,↓2
2026-05-26 13:00,8,품격 있는 대화를 위한 지식 브리핑,김진,북플레저,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392447560,https://image.aladin.co.kr/product/39244/75/cover500/k782138107_2.jpg,7,↓1
2026-05-26 13:00,9,사춘기 엄마의 오장육부,나민애,서교책방,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390672114,https://image.aladin.co.kr/product/39067/21/cover500/k662137858_1.jpg,8,↓1
2026-05-26 13:00,10,ONE PIECE magazine 21 (ジャンプコミックス),,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390594676,https://image.aladin.co.kr/product/39059/46/cover500/4081024413g_1.jpg,11,↑1
2026-05-26 13:00,11,내면 근력,"짐 머피, 지여울",윌북,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388955379,https://image.aladin.co.kr/product/38895/53/cover500/k602137608_1.jpg,13,↑2
2026-05-26 13:00,12,2026 심우철 실전 동형 모의고사 Season 4,심우철,에스티유니타스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392440089,https://image.aladin.co.kr/product/39244/0/cover500/k312138106_1.jpg,10,↓2
2026-05-26 13:00,13,향기로운 꽃은 늠름하게 핀다 20 (더블특전판),미카미 사카,대원씨아이(만화),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393544747,https://image.aladin.co.kr/product/39354/47/cover500/k442138638_1.jpg,12,↓1
2026-05-26 13:00,14,산곡미풍,"위화, 백도라지",푸른숲,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393493563,https://image.aladin.co.kr/product/39349/35/cover500/k042138539_2.jpg,9,↓5
2026-05-26 13:00,15,말하지 않고 말하기,김정운,21세기북스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391826086,https://image.aladin.co.kr/product/39182/60/cover500/k702138679_1.jpg,21,↑6
2026-05-26 13:00,16,구멍청,백희나,Storybowl(스토리보울),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391694882,https://image.aladin.co.kr/product/39169/48/cover500/k622138169_1.jpg,18,↑2
2026-05-26 13:00,17,백지 앞에서,최은영,문학동네,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391370049,https://image.aladin.co.kr/product/39137/0/cover500/k732137654_1.jpg,39,↑22
2026-05-26 13:00,18,주식투자를 잘한다는 것,육과장,노티스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391172295,https://image.aladin.co.kr/product/39117/22/cover500/k272137351_1.jpg,15,↓3
2026-05-26 13:00,19,체호프 단편선,"안톤 파블로비치 체호프, 박현섭",민음사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389003,https://image.aladin.co.kr/product/38/90/cover500/s552934787_1.jpg,32,↑13
2026-05-26 13:00,20,코스모스,"칼 세이건, 홍승수",사이언스북스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=870950,https://image.aladin.co.kr/product/87/9/cover500/s412032094_1.jpg,17,↓3
2026-05-26 13:00,21,가르쳐줘 집사 2,"마사키 미치, 김수연",서울미디어코믹스(서울문화사),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393769371,https://image.aladin.co.kr/product/39376/93/cover500/k912139772_1.jpg,23,↑2
2026-05-26 13:00,22,"하루 한 장, 단단한 삶을 위한 고전 필사 노트",김선영,현대지성,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390286908,https://image.aladin.co.kr/product/39028/69/cover500/k982137743_1.jpg,56,↑34
2026-05-26 13:00,23,부의 사다리에 올라타라,"닉 매기울리, 박슬라",알에이치코리아(RHK),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389340198,https://image.aladin.co.kr/product/38934/1/cover500/8925569574_1.jpg,19,↓4
2026-05-26 13:00,24,일본어 마스터 1500,오현숙,길벗이지톡,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383432735,https://image.aladin.co.kr/product/38343/27/cover500/k042135169_1.jpg,16,↓8
2026-05-26 13:00,25,자몽살구클럽,한로로 (HANRORO),어센틱,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368083714,https://image.aladin.co.kr/product/36808/37/cover500/k082030009_1.jpg,34,↑9
2026-05-26 13:00,26,박곰희 연금 부자 수업,박곰희,인플루엔셜(주),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366615290,https://image.aladin.co.kr/product/36661/52/cover500/k972030181_3.jpg,28,↑2
2026-05-26 13:00,27,김미경의 플러스 휴먼,김미경,어웨이크(AWAKE),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393490963,https://image.aladin.co.kr/product/39349/9/cover500/k582138437_1.jpg,20,↓7
2026-05-26 13:00,28,부처님 말씀대로 살아보니,"토니 페르난도, 강정선",윌마,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385370551,https://image.aladin.co.kr/product/38537/5/cover500/k732135332_1.jpg,22,↓6
2026-05-26 13:00,29,고양이 해결사 깜냥 9,"홍민정, 김재희",창비,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393753673,https://image.aladin.co.kr/product/39375/36/cover500/8936450530_1.jpg,36,↑7
2026-05-26 13:00,30,불가항력의 I LOVE YOU 8,"호시노 미즈키, 김서은",서울미디어코믹스(서울문화사),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393769452,https://image.aladin.co.kr/product/39376/94/cover500/k052139772_1.jpg,26,↓4
2026-05-26 13:00,31,1938 타이완 여행기,"양솽쯔, 김이삭",마티스블루,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=377713049,https://image.aladin.co.kr/product/37771/30/cover500/k252033568_2.jpg,35,↑4
2026-05-26 13:00,32,블루 아카이브 4.5주년 기념 O.S.T [2CD 앨범 패키지],,,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393510167,https://image.aladin.co.kr/product/39351/1/cover500/c962939011_1.jpg,29,↓3
2026-05-26 13:00,33,돈의 심리학 (50만 부 기념 뉴 에디션),"모건 하우절, 이지연",인플루엔셜(주),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383315006,https://image.aladin.co.kr/product/38331/50/cover500/k192034444_1.jpg,40,↑7
2026-05-26 13:00,34,인간을 인간답게 만드는 불완전함에 대하여,"팀 하포드, 윤영삼",윌마,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391533418,https://image.aladin.co.kr/product/39153/34/cover500/k062138867_1.jpg,24,↓10
2026-05-26 13:00,35,이향인,"라미 카민스키, 최지숙",21세기북스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387930371,https://image.aladin.co.kr/product/38793/3/cover500/k292137262_1.jpg,30,↓5
2026-05-26 13:00,36,흔한남매 세계사 탐험대 6,"진서, 흔한남매, 팀키즈, 박현도, 흔한컴퍼니, 전국역사교사모임 세계사 분과",주니어김영사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=394016055,https://image.aladin.co.kr/product/39401/60/cover500/k712139970_1.jpg,,NEW
2026-05-26 13:00,37,해커스 토익 기출 VOCA (보카),David Cho,해커스어학연구소(Hackers),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=176021392,https://image.aladin.co.kr/product/17602/13/cover500/s632030676_2.jpg,,NEW
2026-05-26 13:00,38,2026 문동균 한국사 지방직 대비 실전 봉투 모의고사,문동균,에스티유니타스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388590061,https://image.aladin.co.kr/product/38859/0/cover500/k572137000_1.jpg,33,↓5
2026-05-26 13:00,39,소년이 온다,한강,창비,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=40869703,https://image.aladin.co.kr/product/4086/97/cover500/8936434128_2.jpg,43,↑4
2026-05-26 13:00,40,괴테는 모든 것을 말했다,"스즈키 유이, 이지수",리프,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=376765918,https://image.aladin.co.kr/product/37676/59/cover500/s612137162_1.jpg,45,↑5
2026-05-26 13:00,41,니체의 초월자,"프리드리히 니체, 김철",히읏,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=375395519,https://image.aladin.co.kr/product/37539/55/cover500/k392032120_1.jpg,25,↓16
2026-05-26 13:00,42,2026 선재국어 최우선 봉투 모의고사,,2026 선재국어 최우선 봉투 모의고사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=390196640,https://image.aladin.co.kr/product/39019/66/cover500/k282137630_1.jpg,47,↑5
2026-05-26 13:00,43,EBS FM Radio 입이 트이는 영어 2026.6,"이현석, 제니퍼 클라이드",동아출판(방송교재),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393278810,https://image.aladin.co.kr/product/39327/88/cover500/k802138339_1.jpg,27,↓16
2026-05-26 13:00,44,맥심 Maxim A형 2026.6,맥심코리아 편집부,와이미디어(잡지),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393736258,https://image.aladin.co.kr/product/39373/62/cover500/k402139664_1.jpg,87,↑43
2026-05-26 13:00,45,나나 NANA 완전판 9,야자와 아이,학산문화사(만화),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=394015605,https://image.aladin.co.kr/product/39401/56/cover500/k812139979_1.jpg,,NEW
2026-05-26 13:00,46,열혈강호,"전극진, 양재현",대원씨아이(만화),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393799498,https://image.aladin.co.kr/product/39379/94/cover500/e442638821_071d.jpg,55,↑9
2026-05-26 13:00,47,제미나이 주식투자,조성호,길벗,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389332897,https://image.aladin.co.kr/product/38933/28/cover500/k632137911_1.jpg,58,↑11
2026-05-26 13:00,48,2026 써니 행정법총론 봉투모의고사,박준철,제이씨에듀,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=389503783,https://image.aladin.co.kr/product/38950/37/cover500/k822137116_1.jpg,31,↓17
2026-05-26 13:00,49,데미안,"헤르만 헤세, 전영애",민음사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=260084,https://image.aladin.co.kr/product/26/0/cover500/s742633278_2.jpg,61,↑12
2026-05-26 13:00,50,"팀 켈러, 죄를 말하다","팀 켈러, 윤종석",두란노,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391303284,https://image.aladin.co.kr/product/39130/32/cover500/8953152771_1.jpg,42,↓8
2026-05-26 13:00,51,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385481121,https://image.aladin.co.kr/product/38548/11/cover500/k192135753_2.jpg,66,↑15
2026-05-26 13:00,52,날마다 솟는 샘물 2026.6,사랑의교회 편집부,국제제자훈련원(DMI.디엠출판유통),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=392478168,https://image.aladin.co.kr/product/39247/81/cover500/k112138202_1.jpg,44,↓8
2026-05-26 13:00,53,EBS FM Radio Easy English 초급 영어 회화 2026.6,"이보영, 남주철",동아출판(방송교재),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=393278181,https://image.aladin.co.kr/product/39327/81/cover500/k732138339_1.jpg,69,↑16
2026-05-26 13:00,54,포켓몬 생태도감,"주식회사 포켓몬, 기노시타 치히로, 이선희, 요네하라 요시나리",대원씨아이(단행본),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391764120,https://image.aladin.co.kr/product/39176/41/cover500/k882138678_2.jpg,76,↑22
2026-05-26 13:00,55,여덟 단어,박웅현,인티N,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=318155709,https://image.aladin.co.kr/product/31815/57/cover500/k672833419_1.jpg,78,↑23
