수집시각,순위,제목,저자,출판사,링크,이미지URL,이전순위,순위변동
2026-05-22 17:00,1,누구에게도 상처받지 않는 관계의 기술,후션즈,지니의서재,https://www.yes24.com/product/goods/188188331,https://image.yes24.com/goods/188188331/XL,33,↑32
2026-05-22 17:00,2,불가항력의 I LOVE YOU 8,호시노 미즈키,서울미디어코믹스(서울문화사),https://www.yes24.com/product/goods/189822463,https://image.yes24.com/goods/189822463/XL,26,↑24
2026-05-22 17:00,3,『그냥 하는 사람』 김한균 저자 북토크,김한균,온포인트,https://www.yes24.com/product/goods/184593107,https://image.yes24.com/goods/184593107/XL,,NEW
2026-05-22 17:00,4,가르쳐줘 집사 2,마사키 미치,서울미디어코믹스(서울문화사),https://www.yes24.com/product/goods/189822628,https://image.yes24.com/goods/189822628/XL,10,↑6
2026-05-22 17:00,5,고양이 해결사 깜냥 9,홍민정,창비,https://www.yes24.com/product/goods/189403001,https://image.yes24.com/goods/189403001/XL,6,↑1
2026-05-22 17:00,6,최소한의 세계사,이다지,프런트페이지,https://www.yes24.com/product/goods/189245464,https://image.yes24.com/goods/189245464/XL,8,↑2
2026-05-22 17:00,7,품격 있는 대화를 위한 지식 브리핑,김진,북플레저,https://www.yes24.com/product/goods/189116661,https://image.yes24.com/goods/189116661/XL,1,↓6
2026-05-22 17:00,8,인생 마지막에 쓰는 주식투자 교과서,정규준,애덤스미스,https://www.yes24.com/product/goods/180975910,https://image.yes24.com/goods/180975910/XL,,NEW
2026-05-22 17:00,9,프로젝트 헤일메리,앤디 위어,알에이치코리아(RHK),https://www.yes24.com/product/goods/101375755,https://image.yes24.com/goods/101375755/XL,2,↓7
2026-05-22 17:00,10,ELLE 엘르 B형 (여성월간) : 6월 [2026],허스트중앙 편집부,HEARST JOONGANG,https://www.yes24.com/product/goods/189589741,https://image.yes24.com/goods/189589741/XL,11,↑1
2026-05-22 17:00,11,사춘기 엄마의 오장육부,나민애,서교책방,https://www.yes24.com/product/goods/186676818,https://image.yes24.com/goods/186676818/XL,37,↑26
2026-05-22 17:00,12,내면 근력,짐 머피,윌북(willbook),https://www.yes24.com/product/goods/183809488,https://image.yes24.com/goods/183809488/XL,3,↓9
2026-05-22 17:00,13,인생을 위한 최소한의 생각,신영준 외,상상스퀘어,https://www.yes24.com/product/goods/177044720,https://image.yes24.com/goods/177044720/XL,43,↑30
2026-05-22 17:00,14,니체의 초월자,프리드리히 니체,히읏,https://www.yes24.com/product/goods/161401496,https://image.yes24.com/goods/161401496/XL,47,↑33
2026-05-22 17:00,15,향기로운 꽃은 늠름하게 핀다 20 더블특전판,미카미 사카,대원,https://www.yes24.com/product/goods/189658085,https://image.yes24.com/goods/189658085/XL,58,↑43
2026-05-22 17:00,16,봄의 폭풍과 몬스터 8,미츠바치 미유키,학산문화사,https://www.yes24.com/product/goods/189186587,https://image.yes24.com/goods/189186587/XL,,NEW
2026-05-22 17:00,17,누구나 오를 종목을 찾는 급등의 법칙,이상민,북웨이브,https://www.yes24.com/product/goods/188845880,https://image.yes24.com/goods/188845880/XL,,NEW
2026-05-22 17:00,18,강물이 멈춘 날,월리 램,리프,https://www.yes24.com/product/goods/187536745,https://image.yes24.com/goods/187536745/XL,75,↑57
2026-05-22 17:00,19,사랑이 있으니 살아집디다,유시민 외,도서출판은빛,https://www.yes24.com/product/goods/183023638,https://image.yes24.com/goods/183023638/XL,4,↓15
